Table	Row	Originally hidden
DT_NewShopItem	Magazine Operator Black Shadow	False
DT_NewShopItem	Operator India	False
DT_NewShopItem	Operator Gazed	False
DT_NewShopItem	Operator Executioner	False
DT_NewShopItem	Operator Executioner Shadow	False
DT_NewShopItem	Bundle AK47 Asimov	False
DT_NewShopItem	Bundle AK47 CrimeScene	False
DT_NewShopItem	Deagle Base ColdPixel	False
DT_NewShopItem	Deagle Base Desert Pixel	False
DT_NewShopItem	SVD Barrel Astral	False
DT_NewShopItem	Glock17 Tumble Wood	False
DT_NewShopItem	Bundle Glock17 Blood Moon	False
DT_NewShopItem	Bundle AK47 Iridescent	False
DT_NewShopItem	FNFAL Stock Bloody Mary	False
DT_NewShopItem	Bundle AK47 Reliable	False
DT_NewShopItem	Bundle Glock17 IFriee	False
DT_NewShopItem	M1911 Slide Splinter Night	False
DT_NewShopItem	Bundle M4A1 Base Azimov	False
DT_NewShopItem	Bundle M4A1 Base Splinter Night	False
DT_NewShopItem	Bundle Glock17 Ticket To Hell	False
DT_NewShopItem	Bundle M4A1 Base Ticket To Hell	False
DT_NewShopItem	Scar-H Base Iridescent	False
DT_NewShopItem	Bundle Scar-H Base Crime Scene	False
DT_NewShopItem	UMP Base Skull And Roses	False
DT_NewShopItem	UMP Base Fire Aspect	False
DT_NewShopItem	Bundle AK47 Shadow	False
DT_NewShopItem	Deagle Base White Liquid	False
DT_NewShopItem	Deagle Base Fire Aspect	False
DT_NewShopItem	Deagle Base Western	False
DT_NewShopItem	Bundle AK47 Western Red	False
DT_NewShopItem	Bundle AK47 Western White	False
DT_NewShopItem	Bundle AK47 Western Black	False
DT_NewShopItem	Bundle Kobra Base Shadow	False
DT_NewShopItem	Bundle Kobra Base IFriee	False
DT_NewShopItem	Kobra Slide White Liquid	False
DT_NewShopItem	Uzi Base Chromatic Zebra	False
DT_NewShopItem	Uzi Base Final Step	False
DT_NewShopItem	Uzi Base One Escapes Death	False
DT_NewShopItem	Bundle M4A1 Base French Patriot	False
DT_NewShopItem	Bundle M4A1 Base BCPD	False
DT_NewShopItem	Bundle M4A1 Base Western	False
DT_NewShopItem	Bundle FNFAL Bloody Mary	False
DT_NewShopItem	Bundle AK47 IFriee	False
DT_NewShopItem	Bundle Scar-H Base Shadow	False
DT_NewShopItem	Bundle Scar-H Base Abstract	False
